Date,Id,Opsin,ABF File
2011.6.26,8,FCK-H134R,11626004.abf
2011.6.26,9,FCK-H134R,11626013.abf
2011.6.26,10,FCK-H134R,11626023.abf
2011.6.26,13,FCK-H134R,11626036.abf
2011.7.02,22,FCK-ChR2,11627013.abf
2011.7.02,25,FCK-ChR2,11627034.abf
2011.6.28,42,FCK-H134R,11628017.abf
2011.6.28,43,FCK-H134R,11628028.abf
2011.6.28,44,FCK-H134R,11628037.abf
2011.6.28,45,FCK-H134R,11628046.abf
2011.7.02,102,FCK-ChR2,11702007.abf
2011.7.02,103,FCK-ChR2,11702017.abf
2011.7.02,104,FCK-ChR2,11702027.abf
2011.7.02,106,FCK-ChR2,11702045.abf
2011.7.02,122,FCK-ChR2,11705004.abf
2011.7.07,169,FCK-H134R,11707107.abf